Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Phalsa,1.66,1.09,0.14,4.54,15.09,299,0.03,0.06,0.4,0.17,0.03,1.49,239.44,5.11,0.01,76.5,0.12,2.01,76.92,0.47,0.006,23.65,362,1.99,0.48
Phopat,22.8,0.63,0.9,0.01,0.01,216,0.04,0.03,2.705,0.595,71,0.01,490.44,0.01,0.01,6.205,0.03,0.26,17.525,0.005,0.006,139.65,225.55,19.425,0.21
Pine seed,12.8,1.44,24.445,1.91,13.56,1244.5,0.206,0.042,1.785,0.265,0.057,9.54,324.44,0.01,0.01,9.135,0.62,2.765,143.35,4.235,0.118,328.85,377.5,0.675,2.11
Pineapple,0.61,0.21,0.09,1.79,5.285,99.5,0.028,0.02,0.07,0.075,0.072,0.64,240.44,20.01,0.06,6.395,0.05,0.195,8.5,0.815,0.01,8.96,82.6,0.765,0.06
Pippali,10.98,3.24,1.145,17.37,18.075,457,0.036,0.085,0.585,0.135,0.326,1.355,304.44,0.01,2.41,240.1,0.87,5.05,117.5,1.275,0.168,93.95,1138.5,9.14,0.89
Piranha,20.46,0.93,5.43,0.01,0.01,549,0.04,0.05,0.97,1.04,67.91,0.01,491.44,0.01,0.01,7.425,0,0.5,23.41,0.02,0.003,170,323,38.97,0.43
Pistachio nuts,23.7,1.575,21.415,5.4,8.17,1133.5,0.562,0.021,0.435,0.305,0.494,7.01,325.44,0.01,0.01,78.7,0.47,2.565,76,0.465,0.048,273.1,532.35,4.385,1.28
Plantain,1.123,0.69,0.188,1.945,5.013,102.833,0.01,0.017,0.147,0.172,0.066,1.362,172.44,6.638,0.063,10.968,0.05,0.207,21.323,0.305,0.004,18.07,221.467,8.648,0.165
Plum,0.77,0.255,0.28,1.215,6.785,128.5,0.016,0.01,0.23,0.105,0.028,0.235,241.44,1.13,0.125,4.275,0.4,0.17,4.395,0.04,0.038,8.84,82.65,0.82,0.07
Pomegranate,1.4,0.305,0.085,1.445,6.005,117.5,0.032,0.007,0.115,0.23,0.161,0.345,242.44,7.025,0.03,6.235,0.08,0.185,6.015,0.08,0.004,18.605,119.45,1.115,0.11
Pomfret,19.66,1.09,3.47,0.01,0.01,467.667,0.063,0.033,1.977,0.823,94.503,0.01,493.44,0.01,0.05,6.385,0.025,0.5,30.09,0.017,0.004,217.667,344.333,50.427,0.65
Ponnaganni,5.29,2.65,0.71,6.74,5.17,213,0.02,0.1,0.32,0.21,0.19,11.18,104.44,103,0.01,194,0.105,3.88,80.39,0.66,0.041,58.26,457,39.36,0.99
Poppy seeds,20.71,3.115,16.125,14.86,7.16,922.5,0.476,0.056,0.435,0.18,0.216,1.715,306.44,0.01,1.815,783,1.11,5.585,226.95,4.125,0.091,471.5,350.5,13.785,3.295
Pork,17.242,0.459,5.292,0.01,0.01,363.95,0.112,0.118,2.926,1.731,0.178,0.01,426.94,0.01,0.286,5.027,0.224,4.86,10.32,0.032,0.005,110.665,143.98,48.635,1.369
Potato,1.63,0.833,0.188,1.413,11.992,236.833,0.047,0.008,1.027,0.367,0.091,1.42,262.44,21.672,0.133,4.627,0.067,0.525,21.23,0.13,0.01,31.407,416.05,3.472,0.292
"Poultry, chicken",19.895,1.285,3.075,0.01,0.01,452,0.145,0.155,3.655,3.545,0.53,4.595,360.94,0.01,0.01,2.39,0.122,6.555,15,0.12,0,181.5,242.5,56.09,2.65
Pranel,19.69,0.76,1.89,0.01,0.01,405,0.04,0.13,3.37,0.76,120,0.01,495.44,0.01,0.01,10.94,0.015,0.41,26.26,0.02,0.003,166,251,52.37,0.55
Prawns,16.155,0.85,0.65,0.01,0.01,338.5,0.01,0.025,0.925,1.74,196.5,0.01,552.94,0.01,0.93,29.135,0.208,0.825,33.08,0.025,0.006,214.5,246.5,463.355,1.155
Pulli paarai,20.06,1.19,1.55,0.01,0.01,399,0.05,0.04,1.94,1.13,101,0.01,496.44,0.01,0.01,10.92,0.02,0.35,31.12,0.01,0.002,232,335,58.56,0.52
Pummelo,0.74,0.26,0.215,0.42,6.09,118,0.052,0.016,0.155,0.04,0.026,1.055,243.44,25.205,0.01,9.38,0.02,0.035,4.26,0.005,0,7.87,102.2,0.775,0.035
Pumpkin,0.96,0.402,0.135,1.932,3.27,77.75,0.024,0.018,0.325,0.128,0.049,1.178,174.94,5.873,0.085,12.865,0.028,0.262,9.83,0.062,0,19.668,166.05,4.83,0.108
Pumpkin leaves,4.62,1.225,0.385,1.17,2.88,100,0.04,0.078,0.79,0.185,0.096,1.845,105.44,6.25,2.8,172.3,0.175,2.985,47.09,0.87,0.02,37.64,243.6,7.345,0.575
Quail,20.92,1.35,5.95,0.01,0.01,576,0.05,0.24,4.69,0.81,0.56,0.01,370.44,0.01,0.01,10.3,0.1,1.9,31,0.05,0,300,333,56.21,1.13
Queen fish,21.28,0.655,0.685,0.01,0.01,206,0.04,0.035,2.29,0.335,60.4,0.01,497.44,0.01,0.01,3.81,0.03,0.29,15.41,0.005,0.004,126.4,228.9,29.12,0.185
Quinoa,13.11,2.65,5.5,14.66,53.65,1374,0.83,0.22,1.7,0.62,0.21,0.62,35.44,0.01,0.001,99,0.24,7.51,119,1.77,0.004,212,474,4.5,3.31
Raai fish,21.61,1.11,1.69,0.01,0.01,430,0.07,0.02,1.63,0.31,108,0.01,498.44,0.01,0.01,5.545,0.015,0.46,21.99,0.02,0.003,213,347,47.62,0.36
Raai vanthu,19.39,0.92,2.17,0.01,0.01,410,0.03,0.01,0.72,0.31,112,0.01,499.44,0.01,0.01,4.36,0.015,0.36,27.39,0.01,0.006,178,311,50.83,0.35
Rabbit,21.31,1.267,6.277,0.01,0.01,594.667,0.027,0.107,5.647,0.707,0.267,0.01,436.44,0.01,0.01,15.693,0.15,1.79,28.667,0.03,0,242.667,374.667,51.75,1.623
Radish,0.81,0.636,0.115,1.842,4.811,100.125,0.023,0.016,0.218,0.122,0.054,2.054,265.94,13.312,0.165,16.761,0.018,0.34,13.655,0.082,0.005,23.87,221.238,21.811,0.149
Radish leaves,2.45,0.855,0.28,0.96,1.555,59,0.032,0.077,0.265,0.075,0.096,2.255,106.44,42.225,1.21,143.55,0.185,2.17,36.945,0.745,0.018,32.54,154.1,10.305,0.305
Ragi,7.79,1.19,1.03,6.16,33.775,676,0.206,0.089,0.68,0.24,0.028,0.465,36.44,0.01,2.165,211,0.445,2.49,78.35,2.035,0.049,134.2,251.3,2.445,1.52
Raisins,2.895,1.135,0.185,2.302,35.39,637,0.051,0.026,0.302,0.125,0.098,0.432,244.94,1.078,1.86,33.952,0.255,3.145,18.58,0.27,0.014,46.762,555.725,5.74,0.148
Rajmah,20.233,2.29,1.133,11.65,32.977,836.167,0.172,0.134,1.713,1.308,0.155,0.518,69.44,0.01,0.572,69.95,0.457,4.358,114.833,0.835,0.21,273.65,953.667,6.645,1.993
Rambutan,0.68,0.43,0.16,1.02,16.84,306,0.11,0.01,0.26,0.14,0.04,0.64,246.44,65,0.01,4.335,0.04,0.37,21.38,0.37,0,6.98,131,1.75,0.53
Rani,18.83,1.01,1.49,0.01,0.01,377,0.01,0.01,1.33,0.53,75.7,0.01,500.44,0.01,0.41,18.95,0.04,0.87,29.91,0.02,0.001,208,335,63.17,0.4
Ray fish,19.03,1.15,0.7,0.01,0.01,349,0.05,0.03,1.99,0.23,120,0.01,501.44,0.01,0.01,4.82,0.015,0.25,19.25,0.01,0.003,196,353,105,0.49
Red gram,17.16,1.688,0.815,7.405,23.038,598.333,0.287,0.077,1.518,0.743,0.22,1.143,106.773,5.05,0.657,47.92,0.533,2.242,71.05,0.648,0.114,162.917,691.833,7.058,1.362
Red snapper,22.145,1.18,1.82,0.01,0.01,444,0.04,0.025,3.285,0.74,119.465,0.01,502.94,0.01,0.01,6.455,0.048,0.47,31.84,0.01,0.004,204,386.5,49.43,0.37
Rice,8.957,0.432,0.42,2.05,38.813,745.833,0.092,0.034,1.39,0.313,0.129,0.44,40.44,0.01,0.297,5.098,0.198,0.508,27.425,0.688,0.022,101.533,86.85,1.805,0.778
Rice flakes,7.79,0.49,0.625,1.89,38.855,748,0.07,0.023,0.845,0.27,0.011,0.24,37.44,0.01,1.52,5.26,0.155,2.635,45.335,0.51,0.029,107.75,80.9,1.32,0.85
Rice puffed,7.62,0.69,0.875,1.445,39.11,759,0.064,0.028,0.985,0.205,0.038,0.67,38.44,0.01,1.51,9.005,0.15,2.79,35.3,0.53,0.031,86.3,77,2.28,0.87
Ricebean,19.97,3.54,0.74,13.37,51.26,1265,0.46,0.14,2.32,0.98,0.13,2.65,73.44,1.11,0.01,100,0.375,4.76,201,1.68,0,270,1196,10.62,2.29
Ridge gourd,1.05,0.267,0.073,1.018,1.208,33.5,0.012,0.006,0.108,0.148,0.043,1.24,177.94,4.312,0.068,8.047,0.06,0.288,9.772,0.08,0.008,20.615,62.775,2.802,0.148
Rohu,20.28,0.66,1.515,0.01,0.01,220,0.01,0.025,1.38,0.625,131.65,0.01,550.44,0.01,0.29,22.405,0.035,0.69,15.17,0.03,0.004,124.35,187.7,20.96,0.455
Rumex leaves,1.62,1.27,0.33,1.27,2.33,82,0.03,0.14,0.33,0.25,0.09,1.3,107.44,53.76,3.15,65.5,0.125,3.67,48.33,0.82,0.02,32.4,336,19.95,0.46
Sadaya,20.68,1.32,2.97,0.01,0.01,462,0.07,0.38,2.45,1.07,125,0.01,504.44,0.01,0.01,4.54,0.08,0.47,26.27,0.02,0.033,221,360,49.41,0.68
Safflower seeds,18.2,1.36,15.925,6.97,15.69,1000.5,0.434,0.078,0.57,0.47,0.501,9.77,326.44,0.01,0.01,112.75,0.345,2.24,185.25,0.685,0.034,350.25,307.15,1.98,2.33
Salmon,20.97,1.13,9.86,0.01,0.01,721,0.07,0.06,4.45,1.15,150,0.01,505.44,0.01,0.01,12.15,0.04,0.98,31.18,0.01,0.005,211,345,20.25,0.51
Samai,10.58,0.75,2.12,4.32,33.42,734,0.151,0.029,0.655,0.335,0.022,3.3,42.44,0.01,0.001,8.8,0.21,0.85,52.02,0.155,0.058,78.75,60.35,2.455,0.98
Sangada,20.26,1.26,2.67,0.01,0.01,443,0.01,0.02,0.68,0.22,101,0.01,506.44,0.01,0.01,3.95,0.025,0.99,28.37,0.09,0.003,211,217,77.82,0.32
Sankata paarai,21.87,1.18,1.68,0.01,0.01,434,0.03,0.06,3.7,1.19,181,0.01,507.44,0.01,0.01,3.015,0.025,0.99,27.53,0.01,0.001,246,379,22.33,0.39
Sapota,0.99,0.365,0.64,5.085,7.515,162.5,0.006,0.018,0.13,0.13,0.07,0.895,247.44,12.79,0.01,10.625,0.05,0.41,9.35,0.045,0.018,11.8,144.3,2.345,0.095
Sardine,17.91,0.84,8.99,0.01,0.01,637,0.01,0.06,0.91,0.77,140,0.01,508.44,0.01,0.1,21.13,0.035,0.83,24.39,0.02,0.003,191,228,38.49,0.89
Shark,21.983,1.013,0.793,0.01,0.01,404.667,0.033,0.043,2.14,0.827,86.557,0.01,510.44,0.01,0.067,4.077,0.048,0.593,25.58,0.02,0.005,214,331.333,82.727,0.47
Sheep,17.946,0.795,5.048,0.01,0.01,425.136,0.122,0.185,3.73,2.03,0.209,0.01,393.44,0.01,0.176,4.813,0.443,7.576,14.9,0.11,0.01,169.269,205.864,76.44,1.835
Shelavu,23.8,0.665,1.12,0.01,0.01,243.5,0.03,0.045,1.405,0.245,58.25,0.01,512.44,0.01,0.01,6.615,0.035,0.395,18.425,0.005,0.004,139.6,252.45,21.995,0.27
Shiitake mushroom,3.19,1.11,0.76,3.02,8.98,243,0.05,0.16,1.92,2.04,0.45,10.6,333.44,0.01,0.51,2.65,0.115,1.93,24.47,0.13,0.007,96.36,323,9.3,1.21
Silan,22.72,0.77,6.68,0.01,0.01,633,0.02,0.07,1.27,0.9,122,0.01,513.44,0.01,0.03,14.41,0.04,0.56,22.64,0.02,0,163,223,29.39,0.58
Silk fish,20.65,1.05,1.53,0.01,0.01,408,0.03,0.04,2.24,0.17,169,0.01,514.44,0.01,0.01,5.23,0.01,0.3,27.13,0.01,0.004,211,440,41.57,0.34
Silver carp,21.71,0.95,5.17,0.01,0.01,555,0.02,0.02,1.87,1.33,136,0.01,515.44,0.01,0.11,42.775,0.01,0.58,24.97,0.03,0.005,187,249,19.6,0.57
Snake gourd,0.913,0.363,0.213,1.917,1.363,46.333,0.026,0.022,0.28,0.243,0.063,2.11,180.44,2.362,0.048,12.397,0.045,0.29,16.338,0.133,0.011,21.838,82.433,3.892,0.13
Sole fish,19.05,1.06,1.18,0.01,0.01,367,0.01,0.02,0.47,0.91,68.89,0.01,516.44,0.01,0.01,23.64,0.01,0.33,27.96,0.07,0.003,123,199,74.57,0.17
Soursop,0.74,0.58,0.94,4.95,11.94,260,0.03,0.04,0.85,0.12,0.03,0.23,248.44,59.54,0.01,5.025,0.07,0.29,17.7,0.07,0,25.83,264,6.78,0.12
Soybean,37.02,3.522,14.73,16.868,8.52,1191.25,0.47,0.176,1.705,1.54,0.336,0.59,74.94,0.01,0.815,115.15,0.575,6.31,169.3,1.9,0.133,377.475,1239.15,1.945,2.865
Spinach,2.28,1.425,0.335,1.31,1.18,54.5,0.088,0.054,0.18,0.125,0.08,2.205,108.44,17.495,0.99,44.4,0.11,1.815,47.775,0.77,0.014,20.335,315.45,23.335,0.275
Squid,16.645,1.02,1.148,0.01,0.01,334.25,0.02,0.028,0.778,0.915,124.125,0.01,542.94,0.01,0.028,7.419,0.169,0.32,27.435,0.015,0.002,122.75,96,93.535,0.975
Star fruit,0.79,0.33,0.39,2.81,4.51,110,0.08,0.02,0.34,0.26,0.06,0.13,249.44,33.55,0.43,2.485,0.035,0.45,11.53,0.06,0.028,11.67,159,1.56,0.24
Stingray,23.98,1.14,0.68,0.01,0.01,408,0.03,0.02,2.74,0.98,214,0.01,517.44,0.01,0.02,4.58,0.015,0.74,24.61,0.01,0.004,174,270,64.14,0.44
Strawberry,1.07,0.28,0.29,1.265,2.02,57,0.062,0.006,0.295,0.12,0.058,0.055,250.44,27.585,0.01,9.325,0.04,0.195,8.42,0.225,0,14.2,72.85,0.93,0.08
Sugarcane,0.19,0.125,0.225,0.325,7.02,130,0.016,0.022,0.08,0.04,0.244,0.325,330.44,4.145,0.13,11.035,0.02,0.695,9.7,0.28,0.001,13.58,98.6,0.72,0.105
Sunflower seeds,24.09,1.85,25.96,5.465,3.92,1230.5,0.327,0.078,0.935,0.51,0.545,1.31,327.44,0.01,0.92,101.5,1.885,3.47,223.25,1.63,0.233,435,283.5,1.17,3.795
Sweet potato,1.405,0.498,0.178,2.02,12.275,231.75,0.057,0.023,0.392,0.473,0.056,2.99,268.94,10.965,0.01,16.228,0.092,0.262,11.78,0.188,0.007,21.812,183.975,16.9,0.095
Tamarind,3.14,1.875,0.085,2.79,33.9,607,0.19,0.037,0.86,0.095,0.046,0.35,251.44,2.235,2.42,81.45,0.295,5.435,45.64,0.33,0.026,65.55,422.05,13.685,0.315
Tamarind leaves,5.85,0.655,0.25,5.36,5.03,150,0.07,0.018,0.405,0.17,0.075,1.945,109.44,18.52,0.01,33.945,0.3,1.77,21.45,0.345,0,44.5,234.5,6.75,0.48
Tapioca,1.13,0.615,0.105,2.365,9.19,172,0.036,0.01,0.23,0.11,0.048,1.01,270.44,9.35,0.22,16.205,0.115,0.495,13.57,0.13,0.012,26.795,145.65,5.48,0.11
Tarlava,21.72,1.14,1.2,0.01,0.01,414,0.04,0.04,2.13,0.25,149,0.01,518.44,0.01,0.01,5.84,0.015,0.53,30.1,0.01,0.005,199,370,67.4,0.31
Tholam,20.78,1.06,2.13,0.01,0.01,432,0.04,0.03,2.74,1.22,160,0.01,519.44,0.01,0.01,5.7,0.025,0.6,26.14,0.01,0.004,241,382,28,0.36
Tiger Prawns,14.25,0.83,0.74,0.01,0.01,270,0.03,0.03,1.18,1.47,112,0.01,537.44,0.01,0.01,35.945,0.205,0.39,30.5,0.02,0.003,191,140,61.05,1.16
Tiger prawns,14.545,0.885,0.61,0.01,0.01,278.5,0.01,0.035,1.155,1.775,160,0.01,545.44,0.01,0.185,23.928,0.178,0.785,34.435,0.055,0.004,172,145,134.385,1.06
Tilapia,18.48,1.18,1.08,0.01,0.01,349,0.02,0.18,1.4,0.78,176,0.01,520.44,0.01,0.86,49.695,0.02,2.84,24.56,0.1,0.01,184,255,52.55,0.88
Tinda,1.06,0.27,0.09,1.02,1.135,32,0.01,0.018,0.29,0.21,0.034,1.99,182.44,7.54,0.09,11.475,0.045,0.22,11.82,0.055,0.007,16.42,29.93,12.565,0.105
Tomato,0.987,0.285,0.19,0.875,1.645,44.167,0.033,0.026,0.28,0.14,0.046,1.535,184.44,12.827,0.025,5.333,0.033,0.188,7.82,0.062,0.003,10.943,109.917,7.128,0.077
Tuna,23.025,0.742,1.025,0.01,0.01,323,0.055,0.1,4.16,1.002,81.785,0.01,521.94,0.01,0.01,4.48,0.128,1.24,22.37,0.018,0.004,187.4,230.9,27.062,0.452
Turkey,21.158,1.04,8.317,0.01,0.01,667.5,0.045,0.105,3.932,1.505,0.5,0.01,372.94,0.01,0.01,11.475,0.162,1.4,23.75,0.025,0,202.75,291.25,53.482,2.315
Turmeric powder,8.1,3.255,2.55,10.835,24.885,590.5,0.032,0.005,0.825,0.075,0.068,0.45,307.44,0.01,7.345,71.45,0.23,23.955,138.1,4.82,0.034,154.55,1273,13.445,1.445
Valava,21.8,1.27,1.06,0.01,0.01,410,0.13,0.02,0.86,0.61,104,0.01,523.44,0.01,0.01,18.53,0.015,0.24,39.05,0.02,0.004,229,365,91.91,0.42
Vanjaram,22.28,1.33,5.18,0.01,0.01,570,0.03,0.07,3.46,1.22,163,0.01,524.44,0.01,0.01,4.925,0.04,0.41,36.73,0.01,0,302,473,34.85,0.74
Varagu,10.01,0.995,1.34,3.495,33.69,699,0.172,0.109,0.785,0.35,0.044,0.835,43.44,0.01,0.95,8.275,0.155,1.4,63.95,0.19,0.046,53.1,52.35,1.695,0.915
Vela meen,22.16,1.34,4.34,0.01,0.01,537,0.05,0.04,5.15,0.22,97.92,0.01,525.44,0.01,0.01,7.45,0.04,0.64,31.93,0.02,0.011,280,387,38.15,0.36
Vora,20.14,1.26,2.14,0.01,0.01,422,0.06,0.07,3.72,0.28,121,0.01,526.44,0.01,0.01,3.82,0.005,0.27,32.27,0.01,0.003,246,401,43.66,0.29
Walnut,15.54,0.9,32.16,2.79,5.415,1406,0.21,0.063,0.445,0.435,0.436,7.265,328.44,0.49,0.26,55.45,0.925,1.69,98.1,1.895,0.19,221.5,245.1,0.945,1.595
Water Chestnut,0.86,0.95,0.37,3.02,21.46,400,0.02,0.02,0.74,0.52,0.13,1.08,271.44,5.26,0.11,18.575,0.095,0.77,57.43,0.57,0.011,62.83,382,13.08,0.67
Water melon,0.64,0.07,0.085,0.432,1.92,42.25,0.012,0.011,0.162,0.098,0.054,0.32,252.94,7.365,0.008,2.902,0.022,0.148,4.943,0.025,0.009,5.92,65.775,1.038,0.05
Whale shark,21.83,1.48,0.82,0.01,0.01,401,0.06,0.04,2.9,0.84,125,0.01,527.44,0.01,0.01,4.16,0.05,0.33,20.61,0.01,0.001,274,365,116,0.38
Wheat,11.164,0.511,0.485,5.164,34.881,705.6,0.138,0.038,0.78,0.41,0.073,0.865,48.44,0.01,0.509,15.246,0.214,1.721,39.707,0.97,0.009,99.774,149.65,1.512,1.022
Wheat flour,10.795,0.512,0.62,3.675,34.92,708.75,0.158,0.057,0.828,0.428,0.092,0.388,44.94,0.01,0.835,14.362,0.195,1.73,42.49,1.015,0.011,119.05,126.075,1.092,1.03
Wood Apple,3.44,0.6,1.825,2.795,4.05,165,0.024,0.006,0.3,0.12,0.096,0.895,254.44,14.83,0.06,31.585,0.12,0.255,12.69,0.11,0.016,44.16,187.75,0.92,0.17
Xiphinis,19.82,1.15,0.88,0.01,0.01,370,0.06,0.05,3.24,0.21,65.79,0.01,528.44,0.01,0.01,6.04,0.015,0.54,26.38,0.01,0.002,255,306,66.21,0.56
Yam,2.783,1.123,0.158,2.918,13.022,263.167,0.055,0.02,0.455,0.18,0.149,2.943,273.44,10.415,0.255,19.19,0.122,0.733,23.162,0.222,0.012,36.458,405.067,9.58,0.223
Zizyphus,1.34,0.8,0.35,3.73,9.4,204,0.01,0.02,0.33,0.14,0.11,2.22,255.44,60.93,0.11,23.275,0.06,0.4,16.72,0.24,0.008,32.38,237,1.52,0.1
Zucchini,1.205,1.005,0.475,2.07,2.265,81.5,0.04,0.055,0.725,0.855,0.225,1.075,186.94,16.245,0.01,9.56,0.045,0.43,13.115,0.17,0,26.705,154.5,0.395,0.28
