Gender,Male,gender
Age Range,12,age
Protein,23.98,protien
Ash,2.995,ash
Fat,0.38,fat
Dietary Fubre,8.675,fibre
Carbohydrates,24.69,carbs
Energy,250,energy
Thiamine,1.3,thiamine
Riboflavin,1.5,riboflavin
Niacin,0.017,niacin
Pantac,0.94,pantac
Vitamin B6,0.185,b6
Vitamin B7,10,b7
Vitamin B9,2,b9
Vitamin C,50,c
Aluminium,1.545,al
Calcium,120,calcium
Copper,0.075,copper
Iron,12,iron
Magnesium,27,magnesium
Manganeese,0.105,manganese
Nickel,0.0005,nickel
Phosphor,120,phosphor
Potassium,289,potassium
Sodium,5.235,sodium
Zinc,1.5,zinc